sequence_length,target_cosine,selected_L,actual_cosine,relative_error,adaptive_time_ms,fixed_L8_time_ms,speedup_vs_L8
1024,0.9,2,0.9276992678642273,0.40119338035583496,2.2594000038225204,4.5707000099355355,2.02297070116079
1024,0.95,4,0.9593392610549927,0.2957821190357208,2.8882999904453754,4.5707000099355355,1.5824879773761777
1024,0.97,8,0.9729166030883789,0.2390250265598297,4.5707000099355355,4.5707000099355355,1.0
1024,0.98,16,0.9805403351783752,0.20124109089374542,7.692500003031455,4.5707000099355355,0.5941761466537949
2048,0.9,2,0.9283249378204346,0.3987959623336792,4.054300006828271,8.95559998753015,2.2089139857551454
2048,0.95,4,0.9585520029067993,0.2978048622608185,5.305500002577901,8.95559998753015,1.6879841642029392
2048,0.97,8,0.9725328683853149,0.24020124971866608,8.95559998753015,8.95559998753015,1.0
2048,0.98,16,0.9802863597869873,0.20231425762176514,15.253500008839183,8.95559998753015,0.5871177095316162
4096,0.9,2,0.9313610792160034,0.38982972502708435,8.22649999463465,19.897499994840473,2.418707835387794
4096,0.95,4,0.9598091840744019,0.29317304491996765,11.252399999648333,19.897499994840473,1.7682894311846649
4096,0.97,8,0.9731148481369019,0.23746350407600403,19.897499994840473,19.897499994840473,1.0
4096,0.98,16,0.9804446697235107,0.201216459274292,34.733299995423295,19.897499994840473,0.5728652330029772
